nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo
17.0,69.0,17.0,0.0,0.0,0.0,Refresco Adoçado Frutas Cítricas Del Valle Kapo Caixa 200ml,0.0,0.0,8.2,https://www.paodeacucar.com/produto/462213/refresco-adocado-frutas-citricas-del-valle-kapo-caixa-200ml,https://www.paodeacucar.com/produto/462213/refresco-adocado-frutas-citricas-del-valle-kapo-caixa-200ml,refresco adocado frutas citricas del valle kapo caixa 200ml,
0.0,104.0,26.0,0.0,0.0,0.0,Suco Uva Fazenda Bela Vista Garrafa 300ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/1340717/suco-uva-fazenda-bela-vista-garrafa-300ml,https://www.paodeacucar.com/produto/1340717/suco-uva-fazenda-bela-vista-garrafa-300ml,suco uva fazenda bela vista garrafa 300ml,
0.1,5.0,0.7,0.0,0.0,0.0,Refresco em Pó Abacaxi Mid Zero Pacote 8g,0.0,0.0,23.0,https://www.paodeacucar.com/produto/39088/refresco-em-po-abacaxi-mid-zero-pacote-8g,https://www.paodeacucar.com/produto/39088/refresco-em-po-abacaxi-mid-zero-pacote-8g,refresco em po abacaxi mid zero pacote 8g,
2.3,12.0,2.6,0.0,0.0,0.0,Refresco em Pó Manga Tang Pacote 18g,0.0,0.0,35.0,https://www.paodeacucar.com/produto/1433066/refresco-em-po-manga-tang-pacote-18g,https://www.paodeacucar.com/produto/1433066/refresco-em-po-manga-tang-pacote-18g,refresco em po manga tang pacote 18g,
0.0,72.0,18.0,0.0,0.0,0.0,Água Tônica Indian Prata Garrafa 200ml,0.0,0.0,12.0,https://www.paodeacucar.com/produto/450263/agua-tonica-indian-prata-garrafa-200ml,https://www.paodeacucar.com/produto/450263/agua-tonica-indian-prata-garrafa-200ml,agua tonica indian prata garrafa 200ml,
0.0,82.0,21.0,0.0,0.0,0.0,Água Tônica Indian Prata Lata 269ml,0.0,0.0,17.0,https://www.paodeacucar.com/produto/477014/agua-tonica-indian-prata-lata-269ml,https://www.paodeacucar.com/produto/477014/agua-tonica-indian-prata-lata-269ml,agua tonica indian prata lata 269ml,
2.0,12.0,2.2,0.0,0.0,0.0,Refresco em Pó Uva Intensa Tang Pacote 18g,0.0,0.0,31.0,https://www.paodeacucar.com/produto/1433070/refresco-em-po-uva-intensa-tang-pacote-18g,https://www.paodeacucar.com/produto/1433070/refresco-em-po-uva-intensa-tang-pacote-18g,refresco em po uva intensa tang pacote 18g,
17.0,67.0,17.0,0.0,0.0,0.0,Água de Coco Kero Coco Caixa 330ml,0.0,0.0,19.0,https://www.paodeacucar.com/produto/87500/agua-de-coco-kero-coco-caixa-330ml,https://www.paodeacucar.com/produto/87500/agua-de-coco-kero-coco-caixa-330ml,agua de coco kero coco caixa 330ml,
0.0,84.0,15.0,1.0,2.1,0.3,Bebida Vegetal Silk Amêndoa e Cacau 1L,0.0,1.2,165.0,https://www.paodeacucar.com/produto/449124/bebida-vegetal-silk-amendoa-e-cacau-1l,https://www.paodeacucar.com/produto/449124/bebida-vegetal-silk-amendoa-e-cacau-1l,bebida vegetal silk amendoa e cacau 1l,
8.6,35.0,8.7,0.0,0.0,0.0,Chá Preto Ice Tea Pêssego Leão Garrafa 450ml,0.0,0.0,57.0,https://www.paodeacucar.com/produto/423609/cha-preto-ice-tea-pessego-leao-garrafa-450ml,https://www.paodeacucar.com/produto/423609/cha-preto-ice-tea-pessego-leao-garrafa-450ml,cha preto ice tea pessego leao garrafa 450ml,
0.0,92.0,0.0,0.0,0.0,0.0,Bebida Adoçada Pink Lemonade Villa Piva Garrafa 1l,0.0,0.0,0.0,https://www.paodeacucar.com/produto/789443/bebida-adocada-pink-lemonade-villa-piva-garrafa-1l,https://www.paodeacucar.com/produto/789443/bebida-adocada-pink-lemonade-villa-piva-garrafa-1l,bebida adocada pink lemonade villa piva garrafa 1l,
5.4,38.0,6.6,0.0,0.6,0.0,Bebida à Base de Soja Laranja Ades Caixa 1l,0.0,1.3,18.0,https://www.paodeacucar.com/produto/169774/bebida-a-base-de-soja-laranja-ades-caixa-1l,https://www.paodeacucar.com/produto/169774/bebida-a-base-de-soja-laranja-ades-caixa-1l,bebida a base de soja laranja ades caixa 1l,
0.0,94.0,23.0,0.0,0.0,0.0,Refrigerante PEPSI Twist Garrafa 2L,0.0,0.0,17.0,https://www.paodeacucar.com/produto/136426/refrigerante-pepsi-twist-garrafa-2l,https://www.paodeacucar.com/produto/136426/refrigerante-pepsi-twist-garrafa-2l,refrigerante pepsi twist garrafa 2l,
4.2,97.0,6.0,1.0,6.9,5.0,Leite Vegetal de Aveia Mais Cálcio Orgânico Nude 1L,0.0,2.8,80.0,https://www.paodeacucar.com/produto/1243542/leite-vegetal-de-aveia-mais-calcio-organico-nude-1l,https://www.paodeacucar.com/produto/1243542/leite-vegetal-de-aveia-mais-calcio-organico-nude-1l,leite vegetal de aveia mais calcio organico nude 1l,
0.0,0.0,18.0,0.0,0.0,0.0,Gin Nacional SILVER SEAGERS Garrafa 750ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/399747/gin-nacional-silver-seagers-garrafa-750ml,https://www.paodeacucar.com/produto/399747/gin-nacional-silver-seagers-garrafa-750ml,gin nacional silver seagers garrafa 750ml,
0.0,6.0,0.0,0.0,0.0,0.0,Refrigerante Orgânico WEWI Zero Cola Garrafa 255ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/412864/refrigerante-organico-wewi-zero-cola-garrafa-255ml,https://www.paodeacucar.com/produto/412864/refrigerante-organico-wewi-zero-cola-garrafa-255ml,refrigerante organico wewi zero cola garrafa 255ml,
0.1,6.0,0.7,0.0,0.0,0.0,Refresco em pó Fit Laranja 10g,2.0,0.0,75.0,https://www.paodeacucar.com/produto/102136/refresco-em-po-fit-laranja-10g,https://www.paodeacucar.com/produto/102136/refresco-em-po-fit-laranja-10g,refresco em po fit laranja 10g,
